"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"1056","""RUNNING INTO DADDY'S ARMS A LOT EASIER""
Meet this little 2-year-old angel -Recently, she received her 1st
Runners Blade. We can't wait to see what you do next, little one.","https://www.facebook.com/blacktivists/","United States","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black nationalism, Pan-Africanism, Police
misconduct, African-American culture, African-American Civil Rights
Movement ( 1954-68), African-American history, Black Consciousness
Movement, Martin Luther King 111, Stop Police Brutality or Black (Color)","N/A","14,019","1,733","255.67 RUB","12/09/16 05:45:39 AM PST","12/10/16 05:45:39 AM PST"
"1062","Anyways, nobody is listening to us.","https://www.facebook.com/Blacktivist-128371547505950/","United States
Interests: Black nationalism, Pan-Africanism, African-American culture,
African-American Civil Rights Movement (1954-68), African-American history,
Black is beautiful, Black Consciousness Movement, Martin Luther King III or
Black (Color)","N/A","16 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","0","10/18/16 06:42:06 AM PDT","10/13/16 03:59:39 AM PDT"
"2504","Bianca Carlisle Parker is the wife of Dante Parker, an African American man
who was killed by police. Dante Parker, 36, a father of five and a popular
newspaper pressman died in police custody on August 12, 2014. He was
tasered over 25 times by cops who suspecte Widow Of Dante Parker: I Still
Haven't Seen Police Report I BM BM","https://blackmattersus.com/17910-widow-of-dante-parker-i-still-havent-seen-
police-report/","- Living In: United States
Interests: Human rights, Martin Luther King, Jr., African National Congress,
Nelson Mandela, Justice, Muhammad Ali, Violence prevention, Pan Africanist
Congress of Azania, Malcolm X, Anti-discrimination or Black (Color)","N/A","18 - 54","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","4,096","441","500.00 RUB","10/14/16 01:37:41 AM PDT","10/17/16 01:37:40 AM PDT"
"3207","Supporting and developing blk-owned Businesses is the key to raising our
community!","https://www.facebook.com/Black4Black-1268698556482143/","- Living In: United States","Exclude people who like Black4Black","18 - 65+","English (UK)or English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Black Enterprise
And Must Also Match: Interests: Black Economic Empowerment
Interest expansion: On","N/A","0","0","None","12/06/16 12:50:10 AM PST","N/A"
"2493","America is far from stamping on racism problem. Unfortunately, the skin color
can determine a whole range of variables in life.","https://www.facebook.com/blackmattersus.mvmnt/","- Living In: United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history, Malcolm X or Black (Color)","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","18,656","1,918","382.10 RUB","11/01/16 08:03:20 AM PDT","11/02/16 08:03:19 AM PDT"
"2379","The cop beat this man like he was a runaway slave.","https://www.facebook.com/blackmattersus.mvmnt/","- Living In: United States: New York (+25 mi) New York","N/A","16 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., Black Power, African-
American Civil Rights Movement(1954-68), African-American history, Angela
Davis, Malcolm X or Cop Block","N/A","0","0","None","11/23/16 12:50:09 PM PST","10/03/16 04:47:13 AM PDT"
"1022","In America, most employees are instructed to follow black and Latino
customers, because they 'always are the ones that are the thieves.' Racial
profiling? Yes, it is.","https://www.facebook.com/Blacktivist-128371547505950/","United States","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black nationalism, Pan-Africanism, Police
misconduct, African-American culture, African-American Civil Rights
Movement (1954-68), African-American history, Black Consciousness
Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)","N/A","48,518","4,588","400.00 RUB","12/04/16 11:03:21 PM PST","12/05/16 11:03:21 PM PST"
"2774","Heritage, not hate. The South will rise again! South United","https://www.facebook.com/South-United-1777037362551238/","United States","Exclude people who like South United","18 - 65+","English (UK)or English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Confederate Flag, Confederate States Army,
American Civil War or Southern Pride","N/A","511,224","40,134","78,357.33 RUB","10/14/16 05:54:10 AM PDT","N/A"
"2376","The cop beat this man like he was a runaway slave.","https://www.facebook.com/blackmattersus.mvmnt/","- Living In: United States: Minneapolis(+25 mi) Minnesota","N/A","16 - 65+","English (UK) or English (US)","on pages: News Feed on desktop computers. News Feed on
mobile devices. Instream Video on mobile devices or Instream Video on
desktop computers","Interests Black Power. Racial equality, Social justice,
Black Panther Party or Cop Block","N/A","0","0","None","10/26/16 06:13:56 AM PDT","10/03/16 04:47:13 AM PDT"
"3115","Kaepernick clearing the air and stressing on the fact that he spoke about
Castro's Free Education/Free Universal Health Care initiations, and that he
did not support his oppressive behavior, just like the false headlines been
saying. Kaepernick answers to media","https://www.facebook.com/Woke-Blacks-294234600956431/","- Living In: United States
Interests: Martin Luther King, Jr., African-American culture, African-American
Civil Rights Movement(1954-68), African-American history, Black
Consciousness Movement or Malcolm X","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices
Interest expansion: On","N/A","N/A","557","64","100.00 RUB","12/01/16 07:48:31 AM PST","12/02/16 07:48:31 AM PST"
